property,supported,global_or_plot_specific,preset_serialized,preview_supported,renderer_support,limitations,code_location,test_location
paired_slopegraph point_color / line_color / point_size / line_width / line_alpha,yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),paired_slope,"OPTIONS dict defines 'paired_slopegraph' twice (empty at ui_hints.py:298, real at :401) - later wins","make_my_figure_core/ui_hints.py:298, make_my_figure_core/ui_hints.py:401-409",none found
"manhattan cutoff line colour/style/width, suggestive line",yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),manhattan,"OPTIONS dict defines 'manhattan_plot' twice (:317 empty, :390 real) - later wins","make_my_figure_core/ui_hints.py:317, make_my_figure_core/ui_hints.py:390-399",none found
"scatter fit-stats box toggles (show_fit_stats, show_r2, ..., fit_stats_loc)",yes,plot-specific,"yes (options, style scope)",no (re-render after apply only),scatter,fit_line itself is config scope,make_my_figure_core/ui_hints.py:188-198,none found
statistics annotation mode (stars | p | both) / placement (bracket | above_bar) / show_effect,yes,global,yes (statistics_display),no (re-render after apply only),stats_overlay for renderers with stats integration,"Bracket height fraction, font and line width come from cfg or annotation_pt/spine_width_pt; no dedicated preset tokens","make_my_figure_core/presets.py:98, make_my_figure_core/presets.py:359-365; make_my_figure_core/plots/stats_overlay.py:61-65; apps/streamlit_app/streamlit_app.py:1204-1228",tests/test_figure_presets.py:234-251
export formats (svg | pdf | png | tiff | eps),yes,global,yes (output.formats),no (re-render after apply only),render_to_files / export_figure,Neither single-figure UI has a formats control that feeds the spec (fixed svg/png/pdf),"make_my_figure_core/presets.py:95; make_my_figure_core/plots/registry.py:217, make_my_figure_core/plots/registry.py:449-472; apps/desktop_app/controller.py:341; apps/streamlit_app/streamlit_app.py:1264",none found
export dpi (default 300),yes,global,yes (output.dpi),no (re-render after apply only),export_figure for png/tiff,,make_my_figure_core/plots/registry.py:576-577; apps/desktop_app/main.py:529-530; apps/streamlit_app/streamlit_app.py:1038,tests/test_figure_presets.py:147-157; tests/test_streamlit_presets.py
"vector text editable (svg.fonttype none, pdf/ps fonttype 42)",yes,global,no (always on),no (re-render after apply only),export_figure / figure_to_bytes,Not a preset control,"make_my_figure_core/plots/registry.py:222, make_my_figure_core/plots/registry.py:458; make_my_figure_core/styles/engine.py:252-254",none found
"validate_preset (format, version, mode, plot_type, block types)",yes,global,n/a,no (re-render after apply only),n/a,Does not validate token names/values inside blocks; unknown style keys silently pass on apply (filtered to STYLE_TOKEN_KEYS),make_my_figure_core/presets.py:438-458,tests/test_figure_presets.py:308-315
preset_contains_data (data-rejection validator),yes,global,n/a,no (re-render after apply only),n/a,"Key-name based (input_table, source, rows, ...); cannot detect column names embedded in free text (title in full mode is allowed by design); enforced only in save_preset, not in load/apply","make_my_figure_core/presets.py:461-477, make_my_figure_core/presets.py:510-514","tests/test_figure_presets.py:94-133, tests/test_figure_presets.py:300-305"
coerce_to_preset (raw PlotSpec / *.plot_spec.json sidecar -> full preset),yes,global,n/a,no (re-render after apply only),n/a,Always yields mode=full; legacy style names normalized,"make_my_figure_core/presets.py:480-503, make_my_figure_core/presets.py:523-530",tests/test_figure_presets.py:318-344
PresetStore library (list/save/load/delete/import/export),yes,global,n/a,no (re-render after apply only),n/a,One flat directory; per-plot-type filter plus universal; delete guarded to the library directory; no versioning or tags,make_my_figure_core/presets.py:543-644,tests/test_figure_presets.py:347-387
default_preset_dir (MAKE_MY_FIGURE_PRESETS env; APPDATA / Library / XDG),yes,global,n/a,no (re-render after apply only),n/a,No bundled read-only library directory for shipped journal presets,make_my_figure_core/presets.py:543-556,tests/test_figure_presets.py:385-387
apply result reporting (applied / skipped / unresolved_roles / warnings),yes,global,n/a,no (re-render after apply only),n/a,Both UIs surface counts and unresolved roles; skipped keys shown only as a count,make_my_figure_core/presets.py:271-283; apps/desktop_app/main.py:781-793; apps/streamlit_app/streamlit_app.py:991-1002,"tests/test_streamlit_presets.py:104-128; tests/test_figure_preset_ui_wiring.py:72-75, 94-95"
style capabilities registry (per-plot honoured controls),partial,plot-specific,n/a,no (re-render after apply only),warn_ignored_style_controls called in registry.render and Streamlit,"filter_style_controls_for_plot / applicable_controls / validate_style_controls_for_plot are not used by any frontend; _UNIVERSAL lists keys that are not real tokens (dpi, figure_width_mm, background); apply_preset does not consult capabilities","make_my_figure_core/styles/capabilities.py:45-67, make_my_figure_core/styles/capabilities.py:181-239; make_my_figure_core/plots/registry.py:320-336; apps/streamlit_app/streamlit_app.py:1175-1180",tests/test_style_capabilities_audit.py; tests/test_style_capabilities_network.py
desktop preset panel (combo + Apply/Save/Delete/Import/Export/Reset; File menu),yes,global,n/a,no (re-render after apply only),n/a,"Apply builds the spec, applies, pushes into widgets, re-renders; no diff or dry-run","apps/desktop_app/main.py:698-897, apps/desktop_app/main.py:1276-1285",tests/test_figure_preset_ui_wiring.py:39-75
desktop save dialog (style vs full radio),yes,global,n/a,no (re-render after apply only),n/a,No 'universal' option; no description field,apps/desktop_app/main.py:796-840,tests/test_figure_preset_ui_wiring.py:49-52
"streamlit preset expander (select + Apply/Delete/Export, save form, import uploader, Reset)",yes,global,n/a,no (re-render after apply only),n/a,Apply stages session-state keys and reruns; only tokens with a mapped widget key are restored (10 style tokens + palette),"apps/streamlit_app/streamlit_app.py:156-163, apps/streamlit_app/streamlit_app.py:891-1024",tests/test_streamlit_presets.py
preview-before-apply (side-by-side / dry-run render of a preset),no (committed code); WIP module present,global,n/a,no,n/a,"Neither committed frontend renders a preset before committing it; the only preview is the normal figure re-render after apply (desktop render_preview(); Streamlit st.rerun()). An UNTRACKED, uncommitted module make_my_figure_core/preset_preview.py (mtime 2026-09-16 10:19, appeared during this audit) defines preview_pair / describe_changes / assert_style_safe / apply_with_guard on synthetic example data, but has no callers in either app and no tests",apps/desktop_app/main.py:794; apps/streamlit_app/streamlit_app.py:977-978; make_my_figure_core/preset_preview.py:1-236 (untracked),none
preset thumbnail / gallery / comparison sheet,no,global,n/a,no,n/a,reports/journal_presets/previews and comparison_sheets directories exist but are empty; no generator script found,reports/journal_presets/,none
reset to Publication defaults,yes,global,n/a,no (re-render after apply only),n/a,Streamlit reset covers only _STYLE_DEFAULTS keys (not opt_* plot options); desktop reset covers style panel widgets only,"apps/desktop_app/main.py:1217-1233; apps/streamlit_app/streamlit_app.py:878-889, apps/streamlit_app/streamlit_app.py:1022-1024",tests/test_streamlit_presets.py:90-101
UI round-trip coverage of style tokens,partial,global,n/a,no (re-render after apply only),n/a,Desktop restores 8 numeric tokens + palette + font + legend_outside + grid; Streamlit restores 10 tokens + palette; all other tokens in a preset apply at render but are invisible in the controls,apps/desktop_app/main.py:970-1002; apps/streamlit_app/streamlit_app.py:907-916,"tests/test_figure_preset_ui_wiring.py:64-69, 85-91"
starter_journal_style_profiles.json (nature_like / science_like / cell_like starter tokens),no,global,n/a,no (re-render after apply only),none at runtime,Loaded lazily by _load_raw but unreachable: load_profile normalizes all three names to 'publication' before the lookup; list_profiles never lists them; not exposed in either UI,"make_my_figure_core/styles/engine.py:26-28, make_my_figure_core/styles/engine.py:293-311, make_my_figure_core/styles/engine.py:373-425; style_profiles/starter_journal_style_profiles.json:1-52",tests/test_style_migration.py
learned profiles (style_profiles/learned/*_like_learned.json),no,global,n/a,no (re-render after apply only),none at runtime,"Parsed by _parse_learned but names are aliased to 'publication' and filtered out of list_profiles; the JSON carries panel_label, markers, bars, error_bars, export and plot_type_defaults blocks the engine does not consume","make_my_figure_core/styles/engine.py:316-360, make_my_figure_core/styles/engine.py:396-409; style_profiles/learned/nature_like_learned.json:62-97",tests/test_learned_styles.py
publication palette variants (publication_accessible / publication_grayscale),partial,global,n/a (palette_name only),no (re-render after apply only),all via palette_name,publication_variant() exists but no frontend calls it; users pick palette_name directly,make_my_figure_core/styles/publication_style_engine.py:31-64,tests/test_publication_style_engine.py
recommended_overrides (legend outside when >= 4 series),partial,global,n/a,no (re-render after apply only),advisory only,Not called by registry or apps,"make_my_figure_core/styles/publication_style_engine.py:46, 67-77",tests/test_publication_style_engine.py
Figure Builder layout preset (.mmflayout.json),yes,global (composite),separate format,no (re-render after apply only),panels/builder,Separate file kind; not linked to figure presets; stored in the same library folder,"make_my_figure_core/presets.py:61-63, make_my_figure_core/presets.py:651-775; apps/desktop_app/stats_panel.py",tests/test_figure_presets.py:409-464; tests/test_figure_preset_ui_wiring.py:121-127
