"publisher","journal","requirement","value","source_URL","access_date","mandatory_or_recommendation"
"AAAS (Science family)","Science","caption format","A short figure title should be included in bold-face type as the first line of the caption; No single caption should be longer than 200 words; Distinct figure panels should be labeled with uppercase letters (A, B, etc.) and should each be described in order within the caption","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","mandatory"
"AAAS (Science family)","Science","panel spacing","Panels should be set close to each other, and common axis labels should not be repeated; Avoid wasted white space and clutter","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","symbols","Use solid symbols for plotting data, if possible; Simple solid or open symbols reduce well","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","shading","Avoid the use of light lines and screen shading. Instead, use black-and-white, hatched, and cross-hatched designs for emphasis","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","scale bars","Use scale bars in place of, or in addition to, magnifications","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","layer editability","When using Photoshop, please keep all labeling on a separate, editable layer if possible","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10)","2026-09-16","recommendation"
"AAAS (Science family)","Science","figure preparation guide PDFs","author_prep_guide_2025-1752841600717.pdf and author_figure_prep_guide_2022-1723557116113.pdf linked from pages; NOT RETRIEVED (403 live, not in Wayback)","https://web.archive.org/web/20250810105213/https://www.science.org/content/page/instructions-preparing-initial-manuscript (live page 403; Wayback capture 2025-08-10) ; https://web.archive.org/web/20250330182956/https://www.science.org/content/page/instructions-preparing-revised-manuscript (live page 403; Wayback capture 2025-03-30)","2026-09-16","not retrieved"
"AAAS (Science family)","Science Advances","figure width, 1 column","1 column (3.55 in, 9 cm or 21p3 picas) [from web-search snippet of the Science Advances page; the retrieved 2026-07-09 Wayback capture did not contain this sentence in extracted text; treat as unverified]","UNVERIFIED: web-search snippet attributed to science.org (Science Advances information-for-authors / Guide to Preparing Figures); sentence NOT present in retrieved Wayback capture https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors","2026-09-16","recommendation (unverified)"
"AAAS (Science family)","Science Advances","figure width, 2 columns","2 columns (7.25 in, 18.4 cm or 43p6 picas) [from web-search snippet; unverified in retrieved capture]","UNVERIFIED: web-search snippet attributed to science.org (Science Advances information-for-authors / Guide to Preparing Figures); sentence NOT present in retrieved Wayback capture https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors","2026-09-16","recommendation (unverified)"
"AAAS (Science family)","Science Advances","font family (initial submission)","For best results, use universal fonts (such as Times New Roman) only, as special fonts may affect the rendering of your figure or table files","https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors (live page 403; Wayback capture 2026-07-09)","2026-09-16","recommendation"
"AAAS (Science family)","Science Advances","colour mode","All color figures must be supplied in RGB format (red, green, blue) and not CMYK [from web-search snippet; unverified in retrieved capture]","UNVERIFIED: web-search snippet attributed to science.org (Science Advances information-for-authors / Guide to Preparing Figures); sentence NOT present in retrieved Wayback capture https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors","2026-09-16","mandatory (unverified)"
"AAAS (Science family)","Science Advances","figure/table count","up to a total of ten figures and/or tables (combined) throughout the manuscript","https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors (live page 403; Wayback capture 2026-07-09)","2026-09-16","mandatory"
"AAAS (Science family)","Science Advances","initial submission figure placement","Tables and figures should be embedded in the text at first mention and include legends; For initial submission, the figure files should appear in the combined PDF","https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors (live page 403; Wayback capture 2026-07-09)","2026-09-16","mandatory"
"AAAS (Science family)","Science Advances","revised figures guide","Figures should follow our Guide to Preparing Figures (sciadv_guide_to_preparing_figures_2026.pdf); NOT RETRIEVED (403 live and via WebFetch; not in Wayback)","https://www.science.org/cms/asset/7a6d912b-09dd-4fda-9ece-d07a47edb813/sciadv_guide_to_preparing_figures_2026.pdf","2026-09-16","not retrieved"
"AAAS (Science family)","Science Advances","minimum font size, line width, dpi, panel labels, max height","not specified on retrieved Science Advances information-for-authors page (details are in the unretrieved 2026 Guide to Preparing Figures PDF)","https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors (live page 403; Wayback capture 2026-07-09)","2026-09-16","not specified"
"AAAS (Science family)","Science Advances","figure modification","Science Advances does not allow digital enhancements or manipulations of images... Figures assembled from multiple photographs or images must indicate the separate parts with lines between them. Linear adjustment of contrast, brightness, or color must be applied to an entire image or plate, equally. Nonlinear adjustments must be specified in the figure legend","https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors (live page 403; Wayback capture 2026-07-09)","2026-09-16","mandatory"
"AAAS (Science family)","Science Advances","supplementary figures","Embed figures in the PDF, numbering Fig. S1, S2 etc. Include a figure title in bold. Include captions for all figures (no bold)","https://web.archive.org/web/20260709160938/https://www.science.org/content/page/science-advances-information-authors (live page 403; Wayback capture 2026-07-09)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press (all journals, two-column formats incl. Cell)","figure width, 1 column","8.5 cm (1 column)","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press (all journals, two-column formats incl. Cell)","figure width, 1.5 columns","11.4 cm (1.5 columns)","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press (all journals, two-column formats incl. Cell)","figure width, full page","17.4 cm (full width of the page)","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press (three-column formats: previews, commentaries)","figure widths","5.5 cm (1 column), 11.4 cm (2 columns), and 17.4 cm (full width of the page)","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","STAR Protocols","figure widths","13.4 cm (1 column) and 17.2 cm (full width of the page)","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","maximum figure size / height","Each figure must fit on a single page. We recommend that figures be a maximum of 6.5 x 8 in (16.5 x 20 cm) to allow for page margins and text","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","font family","Always embed fonts, and use only Arial fonts","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","font size (recommended range)","Text should be about 6–8 pt at the desired print size","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","minimum font size","6 pt (lower end of 'about 6–8 pt'); no explicit hard minimum stated","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","panel label style","Different panels should be labeled with capital letters","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","line width range","Line weights or stroke widths should be in the 0.5–1.5 pt range","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","resolution, colour or grayscale figures","at least 300 dpi","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","resolution, black and white figures","at least 500 dpi","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","resolution, line-art figures","at least 1,000 dpi at the desired print size","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","resolution, embedded raster / primary data images","verify that at final print size, each displayed image is at least 300 pixels per inch; Make sure that any raster artwork within the source document is at the appropriate minimum resolution","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","colour mode","If used, color should be encoded as RGB","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","accessibility / colour-blind","To accommodate all viewers, red and green should not be used together (Color Vision by Cal Henderson is a helpful tool to ensure your images are accessible for people with different color visions)","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","gray fills","Gray fills should be kept at least 20% different from other fills and no lighter than 10% or darker than 80%","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","layers","When using layers, reduce to one layer (flatten artwork) before saving your image (except for Leading Edge papers published in Cell)","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","vertical spacing","Limit vertical space between parts of an illustration to only what is necessary for visual clarity","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","accepted file formats for production (preferred)","TIFF and PDF are the preferred formats for final production files; TIFF is recommended for bitmap (line art), grayscale, and color images (LZW compression); PDF is recommended for any type of figure or image","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","accepted file formats for production (also accepted)","Editorial Manager also accepts EPS, JPEG, and CDX files; figures in other formats should be converted to one of the accepted file types: TIFF, PDF, EPS, JPG, or CDX","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell (Leading Edge only)","file formats","we prefer source files in AI (Adobe Illustrator), PSD, or PPT; The AI file type should only be used for Leading Edge figures in the journal Cell","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","STAR Protocols","file format","figures must be provided in JPG format","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","file size","Each individual figure file should be no more than 20 MB","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","initial submission figures","For initial submission and peer review, we can accept figures in a wide variety of formats, sizes, and resolutions; We recommend keeping the individual files small (1–2 MB)","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","production figure upload","Main figures must be uploaded individually, as high-resolution image files. They should not be embedded in the main manuscript; Each figure file should include all the panels for that figure","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","legends inside figures","The main figure titles and legends should not be part of the image files, but should instead appear at the end of the main manuscript file","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","keys inside figures","not specified","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","not specified"
"Cell Press (Elsevier)","Cell","figure legend content","Each figure legend should have a brief title that describes the entire figure without citing specific panels, followed by a description of each panel; For any figures presenting pooled data, the measures should be defined in the figure legends (for example, 'Data are represented as mean ± SEM.'); Each legend should refer to any supporting items in the supplemental information","https://web.archive.org/web/20250118195634/https://www.cell.com/cell/authors (live page 403; Wayback capture 2025-01-18)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","scale bars","You must include a scale bar on all microscopy images","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","data points","Plot the individual data points in addition to indicating the average ± error for graphs displaying quantitation of a dataset","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell Press","generative AI","We do not permit the use of generative AI or AI-assisted tools to create or alter images in submitted manuscripts","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","ChemDraw settings","Bond length = 0.45 cm; Bond width = 0.015 cm; Bold bond width = 0.05 cm; Captions and atom labels = Arial, 7 pt","https://web.archive.org/web/20250911134049/https://www.cell.com/information-for-authors/figure-guidelines (redirect target of https://www.cell.com/figureguidelines; live page 403; Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell","graphical abstract size and font (authors page)","The image should be 1200 pixels square at 300 dpi, using Arial font with a size of 12–16 points; smaller fonts will not be legible online","https://web.archive.org/web/20250118195634/https://www.cell.com/cell/authors (live page 403; Wayback capture 2025-01-18)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","graphical abstract size, font, formats (GA guide PDF)","Size: The submitted image should be 1200 pixels square at 300 dpi. Font: Arial, 8–12 points. Smaller fonts will not be legible online. Preferred file types: TIFF, PDF, JPG","https://web.archive.org/web/20250911134249/https://cell.com/pb/assets/raw/shared/figureguidelines/GA_guide-1537202744020.pdf (Wayback capture 2025-09-11)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell Press","graphical abstract colour accessibility (GA guide PDF)","Please be aware that your color choices may not be accessible to readers with color blindness... when in doubt, try to avoid red/green and red/black as comparative color choices","https://web.archive.org/web/20250911134249/https://cell.com/pb/assets/raw/shared/figureguidelines/GA_guide-1537202744020.pdf (Wayback capture 2025-09-11)","2026-09-16","recommendation"
"Cell Press (Elsevier)","Cell","colour figure charges (authors page, 2025 capture)","The cost for color figures is $1,000 for the first color figure and $275 for each additional figure","https://web.archive.org/web/20250118195634/https://www.cell.com/cell/authors (live page 403; Wayback capture 2025-01-18)","2026-09-16","informational"
"Cell Press (Elsevier)","Cell","figure guidelines reference","Digital figure files submitted through Editorial Manager must conform to our digital figure guidelines (http://www.cell.com/figureguidelines) or you will be asked to revise them. Please be aware that we may resize figures during the production process","https://web.archive.org/web/20250118195634/https://www.cell.com/cell/authors (live page 403; Wayback capture 2025-01-18)","2026-09-16","mandatory"
"Cell Press (Elsevier)","Cell","STAR Methods and figures","Chemical structures should be included as high-resolution files according to Cell Press figure guidelines; STAR Methods page (cell.com/star-authors-guide) contains no figure sizing specs and was not retrievable (403/not archived)","https://web.archive.org/web/20250118195634/https://www.cell.com/cell/authors (live page 403; Wayback capture 2025-01-18)","2026-09-16","not specified"
